X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
397430.659999996,136664.370000001,25423363,2025/08/13 16:02:18+00,DAY,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF 13TH STREET NW,397430.66,136664.37,2,2C,2,209,Cluster 8,005802 1,005802,Precinct 129,38.8978258475,-77.0296189448,DOWNTOWN,2025/08/11 19:10:00+00,2025/08/11 19:50:00+00,782823202,
402216.5,139352.170000002,25109439,2025/07/20 08:24:03+00,MIDNIGHT,OTHERS,THEFT F/AUTO,2400 - 2499 BLOCK OF QUEENS CHAPEL ROAD NE,402216.5,139352.17,5,5C,5,505,Cluster 22,011100 3,011100,Precinct 72,38.9220394293,-76.9744398632,,2025/07/20 07:44:00+00,2025/07/20 08:24:00+00,783137998,
397162.060000002,140182.43,25110435,2025/07/22 01:47:50+00,EVENING,OTHERS,THEFT F/AUTO,3100 - 3299 BLOCK OF 14TH STREET NW,397162.06,140182.43,1,1A,3,302,Cluster 2,002802 1,002802,Precinct 39,38.9295168861,-77.0327298633,,2025/07/22 00:41:00+00,2025/07/22 01:44:00+00,783137999,
398274.119999997,138411.190000001,25110591,2025/07/22 12:35:53+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1705 - 1799 BLOCK OF 6TH STREET NW,398274.12,138411.19,2,2G,3,308,Cluster 7,004801 2,004801,Precinct 21,38.9135638723,-77.0199000615,,2025/07/22 02:00:00+00,2025/07/22 11:30:00+00,783138000,
400387.799999997,137463.760000002,25110688,2025/07/22 16:46:34+00,DAY,OTHERS,THEFT F/AUTO,700 - 799 BLOCK OF FLORIDA AVENUE NE,400387.8,137463.76,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,38.9050307067,-76.9955290515,,2025/07/22 01:00:00+00,2025/07/22 15:54:00+00,783138001,
401996.009999998,136793.940000001,25111010,2025/07/23 00:39:15+00,EVENING,OTHERS,THEFT/OTHER,1800 - 1869 BLOCK OF BENNING ROAD NE,401996.01,136793.94,5,5D,5,507,Cluster 23,008904 1,008904,Precinct 79,38.8989945496,-76.9769899359,,2025/07/22 23:16:00+00,2025/07/23 00:39:00+00,783138002,
401568.590000004,136987.940000001,25111693,2025/07/24 05:21:35+00,MIDNIGHT,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF MARYLAND AVENUE NE,401568.59,136987.94,5,5D,5,507,Cluster 23,008904 1,008904,Precinct 79,38.9007430378,-76.9819168035,,2025/07/24 04:12:00+00,2025/07/24 05:00:00+00,783138003,
405560.0,135351.059999999,25112407,2025/07/25 15:21:22+00,DAY,GUN,ASSAULT W/DANGEROUS WEAPON,C STREET SE AND BENNING ROAD SE,405560.00000311,135351.05999504,7,7E,6,604,Cluster 33,009906 1,009906,Precinct 104,38.8859812378,-76.9359158364,,2025/07/24 21:02:00+00,,783138004,
395767.700000003,137916.559999999,25112926,2025/07/26 09:32:00+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1400 - 1499 BLOCK OF 22ND STREET NW,395767.7,137916.56,2,2B,2,208,Cluster 6,005503 2,005503,Precinct 14,38.9090995819,-77.0487969975,,2025/07/26 06:02:00+00,2025/07/26 07:38:00+00,783138005,
398619.82,138815.140000001,25113234,2025/07/27 23:01:37+00,EVENING,OTHERS,THEFT/OTHER,1924 - 1999 BLOCK OF 3RD STREET NW,398619.82,138815.14,1,1B,3,306,Cluster 3,003400 1,003400,Precinct 20,38.9172033994,-77.0159148194,,2025/07/26 21:45:00+00,2025/07/26 23:51:00+00,783138006,
397610.109999999,137008.120000001,25113291,2025/07/26 23:48:18+00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF NEW YORK AVENUE NW,397610.11,137008.12,2,2C,2,209,Cluster 8,010100 2,010100,Precinct 129,38.9009229772,-77.0275514697,DOWNTOWN,2025/07/26 23:14:00+00,2025/07/26 23:47:00+00,783138007,
394459.18,141888.039999999,25115457,2025/07/30 23:10:26+00,EVENING,OTHERS,THEFT/OTHER,4227 - 4399 BLOCK OF CONNECTICUT AVENUE NW,394459.18,141888.04,3,3F,2,203,Cluster 12,001303 1,001303,Precinct 34,38.9448686362,-77.0639158491,,2025/07/30 18:50:00+00,2025/07/30 19:56:00+00,783138008,
399878.210000001,137742.289999999,25115984,2025/07/31 17:47:31+00,DAY,OTHERS,THEFT/OTHER,300 - 385 BLOCK OF FLORIDA AVENUE NE,399878.21,137742.29,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,38.907539879,-77.001404167,,2025/07/31 16:55:00+00,2025/08/01 17:50:00+00,783138395,
402201.041500002,131112.794599999,25116168,2025/07/31 23:18:09+00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,1900 - 2199 BLOCK OF RIDGECREST COURT SE,402201.041503996,131112.794647103,8,8E,7,704,Cluster 38,007403 2,007403,Precinct 116,38.8478160318,-76.9746445172,,2025/07/31 21:42:00+00,2025/07/31 23:08:00+00,783138396,
400544.380000003,138310.640000001,25116401,2025/08/01 14:19:32+00,DAY,OTHERS,THEFT/OTHER,400 - 1229 BLOCK OF NEW YORK AVENUE NE,400544.38,138310.64,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,38.91265961,-76.9937231684,,2025/07/30 02:30:00+00,2025/07/30 02:55:00+00,783138397,
406073.289999999,137906.370000001,25116731,2025/08/01 23:58:23+00,EVENING,GUN,ROBBERY,1400 - 1425 BLOCK OF EASTERN AVENUE NE,406073.29,137906.37,7,7C,6,602,Cluster 31,007806 1,007806,Precinct 93,38.9089969939,-76.9299771033,,2025/08/01 22:10:00+00,2025/08/01 23:58:00+00,783138398,
401701.350000001,136862.760000002,25117620,2025/08/03 14:08:30+00,DAY,OTHERS,THEFT/OTHER,1516 - 1699 BLOCK OF BENNING ROAD NE,401701.35,136862.76,5,5D,5,507,Cluster 23,008904 1,008904,Precinct 79,38.8996151246,-76.9803866148,,2025/08/03 13:41:00+00,,783138399,
398099.0,136943.449999999,25117833,2025/08/03 22:47:58+00,EVENING,OTHERS,ROBBERY,800 - 899 BLOCK OF 7TH STREET NW,398099,136943.45,2,2C,1,101,Cluster 8,005802 5,005802,Precinct 129,38.9003415999,-77.0219151997,DOWNTOWN,2025/08/03 08:00:00+00,2025/08/03 22:11:00+00,783138400,
397831.350000001,137185.52,25117964,2025/08/04 08:03:55+00,MIDNIGHT,OTHERS,THEFT F/AUTO,900 - 999 BLOCK OF K STREET NW,397831.35,137185.52,2,2C,2,209,Cluster 8,010100 2,010100,Precinct 129,38.9025216331,-77.0250014995,DOWNTOWN,2025/08/04 01:30:00+00,2025/08/04 02:50:00+00,783138401,
402240.409999996,137276.370000001,25118250,2025/08/04 17:45:58+00,DAY,OTHERS,BURGLARY,900 - 999 BLOCK OF 21ST STREET NE,402240.41,137276.37,5,5D,5,507,Cluster 23,008904 2,008904,Precinct 79,38.903339862,-76.9741709118,,2025/08/02 00:00:00+00,2025/08/03 16:00:00+00,783138402,
399433.549999997,141663.550000001,25118866,2025/08/05 19:48:33+00,EVENING,OTHERS,THEFT F/AUTO,1 - 99 BLOCK OF VARNUM STREET NE,399433.55,141663.55,5,5A,4,405,Cluster 19,009510 2,009510,Precinct 44,38.9428636571,-77.0065340711,,2025/08/05 17:30:00+00,2025/08/05 19:00:00+00,783138403,
398110.359999999,144374.789999999,25119796,2025/08/07 13:26:40+00,DAY,OTHERS,MOTOR VEHICLE THEFT,600 - 699 BLOCK OF TUCKERMAN STREET NW,398110.36,144374.79,4,4B,4,402,Cluster 17,001901 4,001901,Precinct 59,38.9672853762,-77.0218047016,,2025/08/07 05:00:00+00,2025/08/07 12:40:00+00,783138404,
399898.710000001,142770.5,25109913,2025/07/21 06:22:50+00,MIDNIGHT,OTHERS,THEFT F/AUTO,5100 - 5198 BLOCK OF 3RD STREET NE,399898.71,142770.5,5,5A,4,406,Cluster 19,009508 3,009508,Precinct 66,38.9528355473,-77.0011685562,,2025/07/21 04:36:00+00,2025/07/21 05:25:00+00,783139958,
397609.07,136611.34,25110077,2025/07/21 16:48:47+00,DAY,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF F STREET NW,397609.07,136611.34,2,2C,2,209,Cluster 8,005802 1,005802,Precinct 129,38.8973486375,-77.0275620781,DOWNTOWN,2025/07/21 14:38:00+00,2025/07/21 15:44:00+00,783139959,
397497.539999999,137413.239999998,25110174,2025/07/21 18:37:20+00,DAY,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF MASSACHUSETTS AVENUE NW,397497.54,137413.24,2,2C,2,209,Cluster 8,010100 2,010100,Precinct 17,38.9045721281,-77.0288506911,DOWNTOWN,2025/07/21 01:30:00+00,2025/07/21 05:48:00+00,783139960,
397496.100000001,136376.739999998,25110575,2025/07/22 11:30:56+00,DAY,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF PENNSYLVANIA AVENUE NW,397496.1,136376.74,2,2C,2,209,Cluster 8,005802 3,005802,Precinct 129,38.8952349608,-77.0288635145,DOWNTOWN,2025/07/22 11:08:00+00,2025/07/22 11:30:00+00,783139961,
402843.607799999,133314.7487,25111172,2025/07/23 13:51:19+00,DAY,OTHERS,THEFT F/AUTO,2800 - 2819 BLOCK OF TEXAS AVENUE SE,402843.607776592,133314.748665147,7,7B,6,607,Cluster 34,007604 2,007604,Precinct 111,38.8676503238,-76.9672331999,,2025/07/21 23:30:00+00,2025/07/22 11:00:00+00,783139962,
398945.57,138345.66,25111980,2025/07/25 01:55:55+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1700 - 1721 BLOCK OF 1ST STREET NW,398945.57,138345.66,5,5E,3,308,Cluster 21,003302 2,003302,Precinct 19,38.9129746181,-77.0121578837,,2025/07/24 07:45:00+00,2025/07/24 08:30:00+00,783139963,
406154.729999997,134905.77,25112179,2025/07/25 02:41:30+00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,404 - 598 BLOCK OF 51ST STREET SE,406154.73,134905.77,7,7E,6,604,Cluster 33,009904 3,009904,Precinct 104,38.8819659336,-76.9290650116,,2025/07/24 23:51:00+00,2025/07/25 01:30:00+00,783139980,
406479.435800001,135042.8957,25112499,2025/07/25 17:43:51+00,DAY,OTHERS,ASSAULT W/DANGEROUS WEAPON,5300 - 5399 BLOCK OF D STREET SE,406479.435811966,135042.895706751,7,7E,6,604,Cluster 33,009905 3,009905,Precinct 105,38.8831988817,-76.9253213948,,2025/07/25 16:21:00+00,,783140367,
401191.210000001,137566.670000002,25113113,2025/07/26 18:51:29+00,DAY,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF PENN STREET NE,401191.21,137566.67,5,5D,5,506,Cluster 23,008802 4,008802,Precinct 77,38.9059570343,-76.9862663545,,2025/07/26 16:56:00+00,2025/07/26 18:42:00+00,783140368,
397424.920000002,141494.260000002,25113763,2025/07/30 03:26:12+00,MIDNIGHT,OTHERS,THEFT/OTHER,4100 - 4199 BLOCK OF 13TH STREET NW,397424.92,141494.26,4,4C,4,404,Cluster 18,002504 1,002504,Precinct 47,38.9413350527,-77.029703231,,2025/07/27 21:44:00+00,2025/07/27 22:22:00+00,783140369,
405455.380000003,137517.829999998,25113839,2025/07/28 00:50:59+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1100 - 1199 BLOCK OF 45TH STREET NE,405455.38,137517.83,7,7C,6,602,Cluster 31,007806 2,007806,Precinct 93,38.9055009442,-76.9371044722,,2025/07/28 00:12:00+00,2025/07/28 00:51:00+00,783140370,
401135.799999997,136927.440000001,25113870,2025/07/28 02:23:14+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1300 - 1399 BLOCK OF H STREET NE,401135.8,136927.44,6,6A,1,104,Cluster 25,008410 1,008410,Precinct 82,38.9001986979,-76.9869062421,,2025/07/28 01:22:00+00,2025/07/28 02:23:00+00,783140371,
396964.32,137650.52,25114103,2025/07/28 17:33:18+00,DAY,OTHERS,THEFT F/AUTO,1500 - 1549 BLOCK OF MASSACHUSETTS AVENUE NW,396964.32,137650.52,2,2F,2,208,Cluster 6,005202 2,005202,Precinct 17,38.9067079493,-77.0349991964,,2025/07/27 02:30:00+00,2025/07/27 10:30:00+00,783140372,
402219.560000002,138565.719999999,25114250,2025/07/28 21:07:23+00,EVENING,OTHERS,ROBBERY,1800 - 1899 BLOCK OF BLADENSBURG ROAD NE,402219.56,138565.72,5,5C,5,503,Cluster 23,011100 3,011100,Precinct 72,38.9149548222,-76.9744071186,,2025/07/28 15:30:00+00,2025/07/28 20:50:00+00,783140373,
398185.289999999,138225.329999998,25114269,2025/07/28 20:30:44+00,EVENING,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF MARION STREET NW,398185.29,138225.33,2,2G,3,308,Cluster 7,004801 1,004801,Precinct 18,38.9118894038,-77.0209238144,,2025/07/28 19:44:00+00,2025/07/28 20:00:00+00,783140374,
399283.189999998,134605.960000001,25115050,2025/07/30 01:02:17+00,EVENING,OTHERS,THEFT/OTHER,1 - 69 BLOCK OF I STREET SE,399283.19,134605.96,6,8F,1,106,Cluster 27,007202 2,007202,Precinct 131,38.8792863775,-77.0082611251,CAPITOL RIVERFRONT,2025/07/30 00:22:00+00,2025/07/30 01:02:00+00,783140375,
401199.359999999,140269.5,25115119,2025/07/30 03:09:20+00,MIDNIGHT,OTHERS,THEFT/OTHER,3200 - 3299 BLOCK OF 14TH STREET NE,401199.36,140269.5,5,5B,5,504,Cluster 22,009301 4,009301,Precinct 73,38.9303050039,-76.9861676702,,2025/07/28 21:30:00+00,2025/07/29 22:30:00+00,783140376,
397594.210000001,144050.510000002,25115298,2025/07/30 15:47:16+00,DAY,OTHERS,THEFT/OTHER,6100 - 6199 BLOCK OF GEORGIA AVENUE NW,397594.21,144050.51,4,4B,4,402,Cluster 17,001901 2,001901,Precinct 59,38.96436292,-77.0277594581,,2025/07/27 15:05:00+00,2025/07/27 15:10:00+00,783140377,
398225.060000002,141510.010000002,25115378,2025/07/30 18:28:57+00,DAY,OTHERS,THEFT/OTHER,4100 - 4199 BLOCK OF NEW HAMPSHIRE AVENUE NW,398225.06,141510.01,4,4C,4,407,Cluster 18,002400 3,002400,Precinct 45,38.9414789142,-77.0204737557,,2025/07/30 16:38:00+00,2025/07/30 17:13:00+00,783140378,
402423.899999999,134032.77,25116733,2025/08/02 00:18:53+00,EVENING,GUN,ROBBERY,2300 - 2399 BLOCK OF PENNSYLVANIA AVENUE SE,402423.9,134032.77,7,7B,6,605,Cluster 34,007709 1,007709,Precinct 111,38.8741198069,-76.972066947,,2025/08/01 22:12:00+00,2025/08/02 00:00:00+00,783140379,
406088.945,135110.2531,25117583,2025/08/03 15:00:33+00,DAY,OTHERS,THEFT/OTHER,5000 - 5099 BLOCK OF D STREET SE,406088.944963604,135110.253082813,7,7E,6,604,Cluster 33,009904 3,009904,Precinct 104,38.8838084536,-76.9298213905,,2025/07/31 14:31:00+00,2025/07/31 20:30:00+00,783140380,
402339.049999997,137267.0,25117768,2025/08/03 20:27:06+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2100 - 2199 BLOCK OF I STREET NE,402339.05,137267,5,5D,5,507,Cluster 23,008904 2,008904,Precinct 79,38.9032551968,-76.9730337496,,2025/08/03 19:09:00+00,2025/08/03 20:09:00+00,783140381,
404064.009999998,139635.98,25118405,2025/08/04 22:19:33+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,3600 - 3799 BLOCK OF JAMISON STREET NE,404064.01,139635.98,5,5C,5,503,Cluster 24,009000 2,009000,Precinct 139,38.9245894783,-76.9531331516,,2025/08/04 19:20:00+00,2025/08/04 22:00:00+00,783140382,
399514.156300001,130292.6844,25119100,2025/08/06 03:37:10+00,MIDNIGHT,GUN,ROBBERY,3500 - 3599 BLOCK OF BROTHERS PLACE SE,399514.156285502,130292.684438342,8,8C,7,707,Cluster 39,010400 1,010400,Precinct 124,38.8404307341,-77.0055962268,,2025/08/06 02:36:00+00,2025/08/06 03:38:00+00,783140383,
393943.189999998,143854.600000001,25119437,2025/08/06 22:00:36+00,EVENING,OTHERS,THEFT F/AUTO,5424 - 5499 BLOCK OF NEVADA AVENUE NW,393943.19,143854.6,3,3/4G,2,201,Cluster 10,001401 1,001401,Precinct 50,38.9625805241,-77.06988539,,2025/08/06 17:00:00+00,2025/08/06 19:00:00+00,783140384,
394895.399999999,140924.899999999,25120096,2025/08/08 00:08:13+00,EVENING,OTHERS,THEFT/OTHER,3500 - 3599 BLOCK OF CONNECTICUT AVENUE NW,394895.4,140924.9,3,3C,2,203,Cluster 15,001304 1,001304,Precinct 34,38.9361950358,-77.0588766912,,2025/08/07 22:19:00+00,2025/08/07 22:47:00+00,783140385,
401337.969999999,136394.550000001,25120390,2025/08/08 18:00:59+00,DAY,OTHERS,THEFT F/AUTO,1400 - 1499 BLOCK OF DUNCAN STREET NE,401337.97,136394.55,6,6A,1,108,Cluster 25,008001 2,008001,Precinct 81,38.8953979474,-76.9845766188,,2025/08/06 00:30:00+00,2025/08/06 12:00:00+00,783140386,
402810.604800001,131849.371300001,25120838,2025/08/09 06:40:28+00,MIDNIGHT,OTHERS,THEFT/OTHER,2701 - 2899 BLOCK OF HARTFORD STREET SE,402810.604768561,131849.371287787,8,8B,7,702,Cluster 36,007502 3,007502,Precinct 115,38.854449697,-76.9676194819,,2025/08/09 05:17:00+00,2025/08/09 06:36:00+00,783140387,
401393.890000001,138543.59,25121075,2025/08/09 18:59:38+00,DAY,OTHERS,THEFT F/AUTO,1400 - 1498 BLOCK OF OKIE STREET NE,401393.89,138543.59,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,38.9147571652,-76.9839276423,,2025/08/08 18:52:00+00,2025/08/09 18:54:00+00,783140388,
402216.412500001,136532.683200002,25121695,2025/08/10 21:54:37+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,500 - 599 BLOCK OF 21ST STREET NE,402216.41254401,136532.683196133,7,7D,5,507,Cluster 25,007903 1,007903,Precinct 80,38.8966405258,-76.9744499717,,2025/08/10 20:08:00+00,2025/08/10 21:27:00+00,783140389,
393039.43,142375.16,25112195,2025/07/25 01:26:55+00,EVENING,OTHERS,THEFT/OTHER,4530 - 4599 BLOCK OF WISCONSIN AVENUE NW,393039.43,142375.16,3,3E,2,202,Cluster 11,001100 4,001100,Precinct 32,38.9492466458,-77.0802982386,,2025/07/25 00:58:00+00,2025/07/25 01:24:00+00,783140516,
397921.43,138592.890000001,25112305,2025/07/25 07:33:13+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1820 - 1899 BLOCK OF 9TH STREET NW,397921.43,138592.89,1,1B,3,305,Cluster 3,004402 2,004402,Precinct 137,38.9151999234,-77.023967263,,2025/07/25 07:02:00+00,2025/07/25 07:03:00+00,783140517,
394449.149999999,137479.059999999,25112581,2025/07/25 23:57:38+00,EVENING,OTHERS,THEFT/OTHER,3200 - 3275 BLOCK OF M STREET NW,394449.15,137479.06,2,2E,2,206,Cluster 4,000202 4,000202,Precinct 6,38.9051510928,-77.0639958956,GEORGETOWN,2025/07/25 19:00:00+00,2025/07/25 19:10:00+00,783140518,
398186.219999999,137001.850000001,25112912,2025/07/26 08:46:00+00,MIDNIGHT,OTHERS,THEFT F/AUTO,600 - 699 BLOCK OF I STREET NW,398186.22,137001.85,2,2C,1,101,Cluster 8,005801 2,005801,Precinct 129,38.9008678723,-77.0209098602,DOWNTOWN,2025/07/26 06:34:00+00,2025/07/26 07:37:00+00,783140519,
398010.090000004,138469.530000001,25112923,2025/07/26 08:03:08+00,MIDNIGHT,OTHERS,THEFT F/AUTO,8TH STREET NW AND S STREET NW,398010.09001211,138469.53001393,2,2G,3,305,Cluster 3,004901 1,004901,Precinct 137,38.9140888606,-77.022944598,,2025/07/26 07:02:00+00,2025/07/26 07:37:00+00,783140520,
397330.0,138223.199999999,25114007,2025/07/28 12:48:01+00,DAY,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF CORCORAN STREET NW,397330,138223.2,2,2F,3,307,Cluster 7,005001 2,005001,Precinct 16,38.9118680339,-77.0307853973,,2025/07/27 04:15:00+00,2025/07/27 08:40:00+00,783140521,
397228.829999998,137798.129999999,25115009,2025/08/02 19:30:52+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF 14TH STREET NW,397228.83,137798.13,2,2F,2,208,Cluster 7,005203 2,005203,Precinct 17,38.9080385449,-77.0319501832,,2025/08/02 04:00:00+00,,783140522,
398165.140000001,143984.579999998,25115828,2025/07/31 13:51:31+00,DAY,OTHERS,THEFT F/AUTO,500 - 699 BLOCK OF QUACKENBOS STREET NW,398165.14,143984.58,4,4B,4,402,Cluster 17,001901 2,001901,Precinct 58,38.9637703845,-77.0211715467,,2025/05/25 23:00:00+00,2025/07/30 11:00:00+00,783140910,
400042.5,136696.91,25115968,2025/07/31 17:24:16+00,DAY,OTHERS,THEFT F/AUTO,600 - 699 BLOCK OF 5TH STREET NE,400042.5,136696.91,6,6C,1,104,Cluster 25,008301 1,008301,Precinct 84,38.8981227334,-76.9995100647,,2025/07/30 21:00:00+00,2025/07/31 17:00:00+00,783140911,
397921.520000003,138712.809999999,25116932,2025/08/02 07:20:37+00,MIDNIGHT,GUN,ROBBERY,1900 - 1999 BLOCK OF 9TH STREET NW,397921.52,138712.81,1,1B,3,305,Cluster 3,004402 2,004402,Precinct 137,38.9162802028,-77.0239665883,,2025/08/02 06:33:00+00,2025/08/02 07:00:00+00,783140912,
397564.729999997,138552.27,25117705,2025/08/03 18:40:12+00,DAY,OTHERS,THEFT F/AUTO,1800 - 1899 BLOCK OF 12TH STREET NW,397564.73,138552.27,1,1B,3,305,Cluster 3,004402 1,004402,Precinct 137,38.9148330889,-77.0280801015,,2025/08/03 15:00:00+00,2025/08/03 17:00:00+00,783140913,
396456.219999999,137483.23,25117736,2025/08/03 19:28:43+00,EVENING,OTHERS,THEFT/OTHER,1130 - 1199 BLOCK OF CONNECTICUT AVENUE NW,396456.22,137483.23,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,38.905199041,-77.0408563583,GOLDEN TRIANGLE,2025/08/03 19:03:00+00,2025/08/03 19:15:00+00,783140914,
395007.450000003,137489.199999999,25117772,2025/08/03 21:11:07+00,EVENING,OTHERS,THEFT/OTHER,2800 - 2899 BLOCK OF M STREET NW,395007.45,137489.2,2,2E,2,206,Cluster 4,000102 3,000102,Precinct 5,38.9052457859,-77.0575593157,GEORGETOWN,2025/08/03 19:46:00+00,2025/08/03 20:17:00+00,783140915,
399029.399999999,136400.850000001,25117996,2025/08/03 04:00:00+00,MIDNIGHT,GUN,HOMICIDE,400 - 499 BLOCK OF NEW JERSEY AVENUE NW,399029.4,136400.85,6,6E,1,102,Cluster 8,005900 2,005900,Precinct 1,38.8954551825,-77.0111885512,DOWNTOWN,2025/08/04 03:04:00+00,2025/08/04 03:05:00+00,783140916,
402762.920000002,132690.300000001,25118467,2025/08/04 23:53:39+00,EVENING,OTHERS,THEFT/OTHER,2200 - 2226 BLOCK OF TOWN CENTER DRIVE SE,402762.92,132690.3,7,7B,6,606,Cluster 35,007604 3,007604,Precinct 113,38.8620252896,-76.9681654717,,2025/08/04 23:12:00+00,2025/08/04 23:45:00+00,783140917,
394064.700000003,142757.899999999,25118491,2025/08/05 00:31:42+00,EVENING,OTHERS,THEFT/OTHER,4800 - 4899 BLOCK OF CONNECTICUT AVENUE NW,394064.7,142757.9,3,3F,2,203,Cluster 12,001200 1,001200,Precinct 33,38.9527019967,-77.0684738781,,2025/08/01 12:39:00+00,2025/08/04 20:30:00+00,783140918,
396746.969999999,137976.41,25118662,2025/08/05 16:44:24+00,DAY,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF P STREET NW,396746.97,137976.41,2,2B,2,208,Cluster 6,005303 2,005303,Precinct 15,38.9096429011,-77.0375066283,,2025/08/05 12:36:00+00,2025/08/05 13:47:00+00,783140919,
401740.25,137077.199999999,25118712,2025/08/05 15:37:40+00,DAY,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF MARYLAND AVENUE NE,401740.25,137077.2,5,5D,5,507,Cluster 23,008904 1,008904,Precinct 79,38.9015468006,-76.9799376272,,2025/08/05 15:11:00+00,2025/08/05 15:30:00+00,783140920,
397754.159999996,139859.27,25119551,2025/08/07 02:24:45+00,EVENING,OTHERS,THEFT/OTHER,2818 - 2899 BLOCK OF SHERMAN AVENUE NW,397754.16,139859.27,1,1A,3,304,Cluster 2,003500 1,003500,Precinct 37,38.9266074729,-77.0259001376,,2025/08/06 21:43:00+00,2025/08/06 21:50:00+00,783140921,
397171.109999999,137408.25,25119630,2025/08/07 00:38:46+00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF VERMONT AVENUE NW,397171.11,137408.25,2,2C,2,207,Cluster 8,010100 3,010100,Precinct 17,38.9045261865,-77.0326140595,DOWNTOWN,2025/08/07 00:09:00+00,,783140922,
397265.469999999,144246.940000001,25122580,2025/08/12 14:36:31+00,DAY,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF SHERIDAN STREET NW,397265.47,144246.94,4,4A,4,402,Cluster 17,001804 3,001804,Precinct 60,38.9661314479,-77.0315534419,,2025/08/12 13:20:00+00,2025/08/12 14:30:00+00,783140923,
400790.57,136326.27,25123198,2025/08/13 20:20:02+00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF D STREET NE,400790.57,136326.27,6,6A,1,108,Cluster 25,008100 2,008100,Precinct 85,38.8947835189,-76.990886823,,2025/07/31 18:22:00+00,2025/08/12 15:00:00+00,783140924,
398809.619999997,134827.670000002,25123338,2025/08/13 19:58:16+00,EVENING,OTHERS,THEFT/OTHER,1 - 299 BLOCK OF G STREET SW,398809.62,134827.67,6,6D,1,103,Cluster 9,010500 3,010500,Precinct 128,38.881283114,-77.0137193306,SOUTHWEST,2025/08/13 19:35:00+00,,783140925,
395002.060000002,139647.079999998,25124227,2025/08/15 16:14:06+00,DAY,OTHERS,THEFT F/AUTO,2700 - 2799 BLOCK OF 29TH STREET NW,395002.06,139647.08,3,3C,2,204,Cluster 15,000501 2,000501,Precinct 26,38.9246846551,-77.0576371648,,2025/08/13 02:00:00+00,2025/08/13 12:00:00+00,783140926,
397553.149999999,143323.629999999,25124268,2025/08/15 15:21:43+00,DAY,OTHERS,THEFT/OTHER,5600 - 5699 BLOCK OF GEORGIA AVENUE NW,397553.15,143323.63,4,4E,4,403,Cluster 18,002002 2,002002,Precinct 54,38.9578148866,-77.0282306394,,2025/08/15 14:19:00+00,,783140927,
399518.509999998,136928.309999999,25124353,2025/08/15 21:33:08+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1 - 299 BLOCK OF H STREET NE,399518.51,136928.31,6,6E,1,102,Cluster 8,004702 1,004702,Precinct 1,38.9002071371,-77.0055507257,NOMA,2025/08/15 18:46:00+00,2025/08/15 20:26:00+00,783140928,
394378.909999996,140267.239999998,25125426,2025/08/17 22:22:55+00,EVENING,OTHERS,SEX ABUSE,3200 - 3399 BLOCK OF KLINGLE ROAD NW,394378.91,140267.24,3,3C,2,204,Cluster 15,000502 1,000502,Precinct 26,38.930267484,-77.0648285219,,2025/08/15 04:00:00+00,2025/08/15 05:00:00+00,783140929,
