ward,2019,2020,2021,2022,2023,2024,2025
1.0,407,263,293,299,547,424,170
2.0,276,164,199,235,397,182,88
3.0,51,36,39,37,64,38,9
4.0,171,179,149,152,315,181,63
5.0,363,334,329,352,518,353,188
6.0,253,210,239,261,433,242,99
7.0,416,454,448,403,683,409,154
8.0,298,358,340,335,506,281,146
