WARD,2019,2020,2021,2022,2023,2024,2025
1,2148,1587,1703,1572,2227,2193,1157
2,4117,2443,2531,2499,3058,3139,1895
3,1058,708,715,679,1070,1120,636
4,1260,923,886,869,1021,1183,707
5,2077,1528,1497,1596,1878,1612,941
6,2170,1789,1655,1604,1755,1669,925
7,1641,1159,1042,1128,1250,1206,640
8,1101,792,851,816,1008,878,516
