X,Y,CCN,REPORT_DATE,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID,YEAR
397163.159999996,142204.18,25124374,2025-08-15 23:16:54+00:00,EVENING,OTHERS,BURGLARY,4700 - 4799 BLOCK OF 14TH STREET NW,397163.16,142204.18,4.0,4E,4.0,404.0,Cluster 18,002501 2,2501.0,Precinct 48,38.947729407,-77.0327255357,,2025-08-15 18:50:00+00:00,2025-08-15 20:19:00+00:00,786786161,,2025
405443.890000001,135696.510000002,25081983,2025-06-02 08:14:59+00:00,MIDNIGHT,OTHERS,BURGLARY,4510 - 4549 BLOCK OF BENNING ROAD SE,405443.89,135696.51,7.0,7E,6.0,604.0,Cluster 33,009906 1,9906.0,Precinct 104,38.889093908,-76.9372513747,,2025-06-02 07:02:00+00:00,2025-06-02 08:20:00+00:00,786786430,,2025
405964.509999998,134419.23,25111108,2025-07-23 05:37:15+00:00,MIDNIGHT,OTHERS,BURGLARY,5000 - 5069 BLOCK OF BENNING ROAD SE,405964.51,134419.23,7.0,7E,6.0,604.0,Cluster 33,007707 3,7707.0,Precinct 106,38.8775843035,-76.9312615719,,2025-07-23 04:27:00+00:00,,786786485,,2025
395652.380000003,136537.039999999,25095448,2025-06-26 01:51:05+00:00,EVENING,OTHERS,BURGLARY,500 - 599 BLOCK OF 23RD STREET NW,395652.38,136537.04,2.0,2A,2.0,207.0,Cluster 5,005602 2,5602.0,Precinct 3,38.8966718167,-77.050117866,,2025-06-25 21:19:00+00:00,2025-06-26 01:38:00+00:00,786786706,,2025
404579.282700002,137347.1976,25030601,2025-03-03 15:14:13+00:00,DAY,OTHERS,BURGLARY,3500 - 3899 BLOCK OF JAY STREET NE,404579.282722202,137347.197628889,7.0,7D,6.0,601.0,Cluster 30,009602 2,9602.0,Precinct 100,38.9039688291,-76.9472062055,,2025-03-03 14:10:00+00:00,2025-03-03 15:09:00+00:00,786786753,,2025
400437.0,136259.32,25032161,2025-03-06 11:24:01+00:00,MIDNIGHT,OTHERS,BURGLARY,300 - 399 BLOCK OF 8TH STREET NE,400437.0,136259.32,6.0,6A,1.0,108.0,Cluster 25,008100 2,8100.0,Precinct 85,38.8941806556,-76.9949625907,,2025-03-06 09:37:00+00:00,2025-03-06 09:50:00+00:00,786786756,,2025
401861.950000003,137317.809999999,25008108,2025-01-18 02:56:53+00:00,EVENING,OTHERS,BURGLARY,1730 - 1799 BLOCK OF L STREET NE,401861.95,137317.81,5.0,5D,5.0,507.0,Cluster 23,008903 2,8903.0,Precinct 78,38.9037140513,-76.9785339635,,2025-01-18 02:18:00+00:00,2025-01-18 02:38:00+00:00,786787113,,2025
396010.640000001,140681.699999999,25089273,2025-06-15 02:00:23+00:00,EVENING,OTHERS,BURGLARY,2000 - 2099 BLOCK OF PIERCE MILL ROAD NW,396010.64,140681.7,1.0,1D,3.0,302.0,Cluster 2,002704 1,2704.0,Precinct 40,38.9340099891,-77.0460120504,,2025-06-14 22:19:00+00:00,2025-06-15 01:00:00+00:00,786787214,,2025
397561.399999999,143530.960000001,25014826,2025-01-31 20:15:49+00:00,EVENING,OTHERS,BURGLARY,5700 - 5899 BLOCK OF GEORGIA AVENUE NW,397561.4,143530.96,4.0,4E,4.0,403.0,Cluster 18,002002 2,2002.0,Precinct 54,38.9596825918,-77.028136192,,2025-01-31 15:00:00+00:00,2025-01-31 16:56:00+00:00,786787494,,2025
407727.189599998,136182.366999999,25047440,2025-04-02 06:15:20+00:00,MIDNIGHT,OTHERS,BURGLARY,300 - 399 BLOCK OF 63RD STREET NE,407727.189637124,136182.366971808,7.0,7C,6.0,608.0,Cluster 31,007808 2,7808.0,Precinct 96,38.8934535832,-76.9109276278,,2025-04-02 03:33:00+00:00,2025-04-02 06:00:00+00:00,786787499,,2025
