X,Y,CCN,REPORT_DATE,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID,YEAR
400588.465000004,129470.042399999,5131706,2025-02-05 05:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,800 - 899 BLOCK OF XENIA STREET SE,400588.464990499,129470.042357579,8.0,8E,7.0,706.0,Cluster 39,009801 1,9801.0,Precinct 121,38.8330199372,-76.9932224259,,2005-09-27 07:25:00+00:00,2005-09-27 07:26:00+00:00,784599850,,2025
399950.138599999,130512.478799999,17194618,2025-06-30 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,3200 - 3299 BLOCK OF 4TH STREET SE,399950.138557907,130512.478774546,8.0,8C,7.0,705.0,Cluster 39,009804 2,9804.0,Precinct 122,38.8424108727,-77.0005743486,,2017-11-09 20:44:00+00:00,2017-11-09 22:57:34+00:00,784605831,,2025
402061.0,135138.0,25070414,2025-05-12 04:00:00+00:00,MIDNIGHT,KNIFE,HOMICIDE,1900 BLOCK OF D STREET SE,402061.0,135138.0,7.0,7F,1.0,107.0,Cluster 26,006804 1,6804.0,Precinct 80,38.8840770766,-76.9762456966,,2025-05-12 18:30:00+00:00,2025-05-12 18:31:00+00:00,784895244,,2025
400691.930799998,130446.7795,25045634,2025-03-29 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,3300 - 3399 BLOCK OF 10TH PLACE SE,400691.930814595,130446.779478485,8.0,8C,7.0,705.0,Cluster 39,007304 2,7304.0,Precinct 120,38.8418187534,-76.9920297887,,2025-03-30 03:00:00+00:00,2025-03-31 03:02:00+00:00,784897254,,2025
401329.960000001,136952.640000001,25020722,2025-03-17 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,1400 - 1499 BLOCK OF FLORIDA AVENUE NE,401329.96,136952.64,5.0,5D,5.0,506.0,Cluster 23,008802 2,8802.0,Precinct 77,38.9004254362,-76.9846678731,,2025-02-12 02:11:00+00:00,2025-02-12 03:49:00+00:00,784897575,,2025
400246.539999999,139229.039999999,25002905,2025-01-07 05:00:00+00:00,MIDNIGHT,OTHERS,HOMICIDE,500 - 799 BLOCK OF RHODE ISLAND AVENUE NE,400246.54,139229.04,5.0,5F,5.0,502.0,Cluster 21,009204 2,9204.0,Precinct 74,38.9209329952,-76.9971570051,,2025-01-07 10:01:00+00:00,,784897801,,2025
405126.711599998,136202.183499999,24161675,2025-02-05 05:00:00+00:00,MIDNIGHT,OTHERS,HOMICIDE,4200 - 4399 BLOCK OF BROOKS STREET NE,405126.711554711,136202.183483826,7.0,7F,6.0,602.0,Cluster 33,007803 4,7803.0,Precinct 99,38.8936511088,-76.9409035361,,2024-10-18 15:45:00+00:00,2024-10-18 22:00:00+00:00,784899731,,2025
404541.469999999,136535.379999999,25022969,2025-02-16 05:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,4000 - 4121 BLOCK OF MINNESOTA AVENUE NE,404541.47,136535.38,7.0,7F,6.0,602.0,Cluster 30,007803 1,7803.0,Precinct 99,38.8966558827,-76.9476475094,,2025-02-16 18:10:00+00:00,2025-02-16 18:46:00+00:00,784901117,,2025
404541.469999999,136535.379999999,25022969,2025-02-16 05:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,4000 - 4121 BLOCK OF MINNESOTA AVENUE NE,404541.47,136535.38,7.0,7F,6.0,602.0,Cluster 30,007803 1,7803.0,Precinct 99,38.8966558827,-76.9476475094,,2025-02-16 18:10:00+00:00,2025-02-16 18:46:00+00:00,784901118,,2025
405126.8948,136356.843800001,25049765,2025-04-06 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,4200 - 4399 BLOCK OF DIX STREET NE,405126.894818711,136356.84377197,7.0,7F,6.0,602.0,Cluster 30,007803 4,7803.0,Precinct 99,38.8950443442,-76.9409002694,,2025-04-06 04:45:00+00:00,2025-04-06 08:36:00+00:00,784901636,,2025
400790.549999997,136192.079999998,25044218,2025-06-26 04:00:00+00:00,MIDNIGHT,OTHERS,HOMICIDE,1100 - 1199 BLOCK OF C STREET NE,400790.55,136192.08,6.0,6A,1.0,108.0,Cluster 25,008100 2,8100.0,Precinct 85,38.893574686,-76.990887208,,2025-03-27 21:15:00+00:00,2025-03-27 21:22:00+00:00,784901700,,2025
397242.829999998,140743.199999999,25118563,2025-08-04 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,1329 - 1399 BLOCK OF OTIS PLACE NW,397242.83,140743.2,1.0,1A,4.0,408.0,Cluster 2,002900 2,2900.0,Precinct 41,38.9345687303,-77.0318005987,,2025-08-05 01:57:00+00:00,2025-08-05 06:39:00+00:00,784902220,,2025
401348.640000001,137835.010000002,25082481,2025-06-02 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,1200 - 1299 BLOCK OF RAUM STREET NE,401348.64,137835.01,5.0,5D,5.0,506.0,Cluster 23,008804 2,8804.0,Precinct 78,38.9083741066,-76.9844507926,,2025-06-02 23:52:00+00:00,2025-06-02 23:53:00+00:00,784902773,,2025
400923.350000001,135710.52,25087082,2025-06-10 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,1204 - 1215 BLOCK OF EAST CAPITOL STREET SE,400923.35,135710.52,6.0,6B,1.0,107.0,Cluster 26,006700 2,6700.0,Precinct 88,38.8892364849,-76.989357049,,2025-06-11 02:08:00+00:00,2025-06-11 06:34:00+00:00,784903198,,2025
405443.890000001,135696.510000002,25070930,2025-05-13 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,4510 - 4549 BLOCK OF BENNING ROAD SE,405443.89,135696.51,7.0,7E,6.0,604.0,Cluster 33,009906 1,9906.0,Precinct 104,38.889093908,-76.9372513747,,2025-05-13 21:10:00+00:00,2025-05-13 21:15:00+00:00,784904799,,2025
402554.274800003,131862.0207,25058641,2025-04-22 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,2900 - 2999 BLOCK OF KNOX PLACE SE,402554.274784323,131862.020727799,8.0,8B,7.0,702.0,Cluster 36,007408 2,7408.0,Precinct 115,38.8545644303,-76.9705725705,,2025-04-22 22:40:00+00:00,2025-04-23 04:00:00+00:00,784905068,,2025
396837.939999998,140214.859999999,25016722,2025-02-04 05:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,3101 - 3199 BLOCK OF 16TH STREET NW,396837.94,140214.86,1.0,1D,3.0,302.0,Cluster 2,002702 1,2702.0,Precinct 39,38.9298079189,-77.036468077,,2025-02-04 05:02:00+00:00,2025-02-04 05:02:00+00:00,784908122,,2025
401174.995300002,130512.295000002,25016849,2025-02-04 05:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,1303 - 1358 BLOCK OF CONGRESS STREET SE,401174.995263043,130512.294966546,8.0,8E,7.0,705.0,Cluster 38,007304 4,7304.0,Precinct 120,38.8424084336,-76.986465355,,2025-02-04 05:03:00+00:00,2025-02-04 05:04:00+00:00,784909388,,2025
400335.109999999,131003.329999998,25113417,2025-07-26 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,2730 - 2899 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400335.11,131003.33,8.0,8C,7.0,707.0,Cluster 39,010400 3,10400.0,Precinct 123,38.8468326159,-76.9961396645,,2025-07-27 03:16:00+00:00,2025-07-27 07:45:00+00:00,784910688,,2025
401833.719999999,133509.879999999,23164701,2025-07-02 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,1800 - 1809 BLOCK OF MINNESOTA AVENUE SE,401833.72,133509.88,8.0,8A,6.0,607.0,Cluster 34,007601 3,7601.0,Precinct 133,38.869410832,-76.978869583,,2023-10-06 04:59:00+00:00,,784922745,,2025
406004.9476,134532.739700001,25036503,2025-03-13 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,5000 - 5099 BLOCK OF H STREET SE,406004.947587526,134532.739674277,7.0,7E,6.0,604.0,Cluster 33,007707 3,7707.0,Precinct 106,38.8786065677,-76.9307945544,,2025-03-14 01:26:00+00:00,2025-03-14 06:24:00+00:00,784929388,,2025
