WARD,2019,2020,2021,2022,2023,2024,2025
1,163,139,162,93,146,83,60
2,146,98,117,98,94,72,38
3,24,23,30,25,29,16,10
4,69,85,97,86,90,82,48
5,280,303,281,239,202,133,74
6,123,142,140,100,75,63,36
7,405,394,376,320,325,237,119
8,363,448,453,418,443,338,172
