WARD,2019,2020,2021,2022,2023,2024,2025
1,248,401,500,455,674,519,197
2,269,327,475,395,536,336,196
3,95,152,89,87,166,120,67
4,204,327,320,292,671,427,325
5,404,516,495,700,1498,1144,707
6,205,432,541,597,967,813,487
7,486,684,626,707,1260,1034,568
8,276,421,433,509,1015,733,445
