X,Y,CCN,REPORT_DATE,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID,YEAR
399823.159999996,137425.670000002,25005067,2025-01-12 04:35:42+00:00,MIDNIGHT,GUN,ROBBERY,1100 - 1199 BLOCK OF 3RD STREET NE,399823.16,137425.67,6.0,6C,5.0,501.0,Cluster 25,010602 4,10602.0,Precinct 144,38.9046876463,-77.0020387796,,2025-01-12 03:20:00+00:00,2025-01-12 04:35:00+00:00,784580645,,2025
398099.100000001,137620.600000001,25100165,2025-07-04 04:19:26+00:00,MIDNIGHT,GUN,ROBBERY,1200 - 1299 BLOCK OF 7TH STREET NW,398099.1,137620.6,2.0,2G,3.0,308.0,Cluster 7,004802 2,4802.0,Precinct 18,38.9064416062,-77.021915921,,2025-07-04 01:00:00+00:00,2025-07-04 04:30:00+00:00,784580705,,2025
392607.979999997,143559.5,25042575,2025-03-25 00:27:14+00:00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,392607.98,143559.5,3.0,3E,2.0,202.0,Cluster 11,001100 2,1100.0,Precinct 32,38.9599119666,-77.085288276,FRIENDSHIP HEIGHTS,2025-03-24 23:19:00+00:00,2025-03-24 23:25:00+00:00,784580778,,2025
400541.5,139301.399999999,25075222,2025-05-21 09:33:06+00:00,MIDNIGHT,GUN,ROBBERY,2300 - 2499 BLOCK OF WASHINGTON PLACE NE,400541.5,139301.4,5.0,5C,5.0,505.0,Cluster 22,009102 4,9102.0,Precinct 72,38.9215847053,-76.9937555941,,2025-05-21 02:55:00+00:00,2025-05-21 08:10:00+00:00,784580796,,2025
397489.479999997,143383.050000001,25037346,2025-03-15 20:36:38+00:00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,1200 - 1299 BLOCK OF MADISON STREET NW,397489.48,143383.05,4.0,4E,4.0,403.0,Cluster 18,002002 2,2002.0,Precinct 54,38.9583499777,-77.0289654523,,2025-03-15 18:03:00+00:00,2025-03-15 20:00:00+00:00,784580798,,2025
397564.729999997,138552.27,25015710,2025-02-02 06:40:56+00:00,MIDNIGHT,GUN,ROBBERY,1800 - 1899 BLOCK OF 12TH STREET NW,397564.73,138552.27,1.0,1B,3.0,305.0,Cluster 3,004402 1,4402.0,Precinct 137,38.9148330889,-77.0280801015,,2025-02-02 05:00:00+00:00,2025-02-02 05:45:00+00:00,784581196,,2025
401004.766800001,131818.155200001,25116905,2025-08-02 07:01:49+00:00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,2400 - 2599 BLOCK OF ELVANS ROAD SE,401004.766846885,131818.155159758,8.0,8B,7.0,703.0,Cluster 37,007406 2,7406.0,Precinct 118,38.8541724053,-76.9884242906,,2025-08-02 05:22:00+00:00,2025-08-02 07:00:00+00:00,784581224,,2025
405623.780000001,137221.690000001,25010537,2025-01-23 06:43:05+00:00,MIDNIGHT,GUN,ROBBERY,4700 - 4721 BLOCK OF SHERIFF ROAD NE,405623.78,137221.69,7.0,7C,6.0,602.0,Cluster 31,007806 2,7806.0,Precinct 93,38.9028321503,-76.9351654001,,2025-01-23 05:52:00+00:00,,784581393,,2025
403424.649999999,134617.960000001,25003543,2025-01-09 00:06:37+00:00,EVENING,GUN,ROBBERY,3200 - 3249 BLOCK OF MINNESOTA AVENUE SE,403424.65,134617.96,7.0,7B,6.0,605.0,Cluster 34,007709 1,7709.0,Precinct 132,38.8793881013,-76.9605313775,,2025-01-08 22:30:00+00:00,2025-01-08 23:40:00+00:00,784581534,,2025
398724.43,143069.739999998,25069268,2025-05-11 01:25:23+00:00,EVENING,GUN,THEFT/OTHER,200 - 298 BLOCK OF JEFFERSON STREET NW,398724.43,143069.74,4.0,4D,4.0,403.0,Cluster 18,002102 4,2102.0,Precinct 57,38.9555302608,-77.0147164731,,2025-05-10 17:00:00+00:00,2025-05-11 00:15:00+00:00,784581575,,2025
398891.710000001,134661.010000002,25017058,2025-02-04 22:06:13+00:00,EVENING,GUN,ROBBERY,700 - 899 BLOCK OF DELAWARE AVENUE SW,398891.71,134661.01,6.0,6D,1.0,103.0,Cluster 9,010500 3,10500.0,Precinct 128,38.8797818831,-77.0127729607,SOUTHWEST,2025-02-04 21:14:00+00:00,2025-02-04 22:06:00+00:00,784581620,,2025
