X,Y,CCN,REPORT_DATE,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID,YEAR
400891.0,131932.0,19064087,2019-04-16 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,2400 - 2699 BLOCK OF POMEROY ROAD SE,400891.0,131932.0,8.0,8B,7.0,703.0,Cluster 37,007406 2,7406.0,Precinct 118,38.855198091,-76.9897348272,,2019-04-16 00:43:24+00:00,2019-04-16 00:44:11+00:00,717536752,,2019
403074.0,131528.0,19126975,2019-07-20 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,3000 - 3099 BLOCK OF 30TH STREET SE,403074.0,131528.0,8.0,8B,7.0,702.0,Cluster 36,007502 3,7502.0,Precinct 115,38.851553765,-76.964586385,,2019-07-20 07:47:10+00:00,2019-07-20 10:27:53+00:00,717536799,,2019
404344.0,135124.0,19029473,2019-02-27 05:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,400 - 499 BLOCK OF 37TH PLACE SE,404344.0,135124.0,7.0,7F,6.0,603.0,Cluster 32,007703 3,7703.0,Precinct 107,38.8839426437,-76.9499327979,,2019-02-19 18:01:57+00:00,2019-02-19 18:02:02+00:00,717536845,,2019
406160.0,134419.0,19065265,2019-04-18 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,5100 - 5149 BLOCK OF SOUTHERN AVENUE SE,406160.0,134419.0,7.0,7E,6.0,604.0,Cluster 33,007707 3,7707.0,Precinct 106,38.8775808838,-76.9290086361,,2019-04-17 20:33:34+00:00,2019-04-17 20:40:16+00:00,717537321,,2019
404876.0,134944.0,19117971,2019-07-06 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,400 - 499 BLOCK OF BURNS STREET SE,404876.0,134944.0,7.0,7F,6.0,603.0,Cluster 33,007703 2,7703.0,Precinct 103,38.8823183453,-76.9438024578,,2019-07-06 08:49:14+00:00,2019-07-06 09:55:53+00:00,717537999,,2019
400335.0,131003.0,19091047,2019-05-26 04:00:00+00:00,MIDNIGHT,OTHERS,HOMICIDE,2732 - 2899 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400335.0,131003.0,8.0,8C,7.0,707.0,Cluster 39,010400 3,10400.0,Precinct 123,38.8468296431,-76.9961409318,,2019-05-26 21:40:15+00:00,2019-05-27 00:37:55+00:00,717538665,,2019
402606.0,140463.0,19211353,2019-11-26 05:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,2500 - 2616 BLOCK OF RHODE ISLAND AVENUE NE,402606.0,140463.0,5.0,5C,5.0,503.0,Cluster 24,011100 2,11100.0,Precinct 71,38.9320450653,-76.9699440271,,2019-11-26 04:06:00+00:00,2019-11-26 06:33:13+00:00,717539266,,2019
397318.0,139543.0,19123629,2019-07-15 04:00:00+00:00,MIDNIGHT,OTHERS,HOMICIDE,1300 - 1399 BLOCK OF EUCLID STREET NW,397318.0,139543.0,1.0,1B,3.0,304.0,Cluster 2,003600 1,3600.0,Precinct 23,38.9237571897,-77.0309289143,,2019-07-15 08:51:38+00:00,2019-07-15 11:54:03+00:00,717539609,,2019
399214.789999999,137753.75,19102730,2019-06-13 04:00:00+00:00,MIDNIGHT,GUN,HOMICIDE,1200 - 1499 BLOCK OF NORTH CAPITOL STREET,399214.79,137753.75,6.0,6E,1.0,102.0,Cluster 8,004704 2,4704.0,Precinct 1,38.9076427724,-77.0090530223,,2019-06-13 05:57:34+00:00,,717539706,,2019
400064.0,139726.0,19045542,2019-03-17 04:00:00+00:00,MIDNIGHT,KNIFE,HOMICIDE,500 - 599 BLOCK OF MONTANA AVENUE NE,400064.0,139726.0,5.0,5E,5.0,502.0,Cluster 21,009204 1,9204.0,Precinct 74,38.9254098023,-76.9992619328,,2019-03-18 03:02:14+00:00,,717539899,,2019
