ward,2019,2020,2021,2022,2023,2024,2025
1,1,1,0,0,1,0,0
2,1,4,1,0,1,1,0
3,0,0,1,0,1,0,0
5,1,3,0,2,2,0,2
6,1,1,0,1,0,2,0
7,1,3,1,0,2,0,2
8,3,1,1,1,4,1,0
