WARD,YEAR,OFFENSE,COUNT
3.0,2021,MOTOR VEHICLE THEFT,89
3.0,2021,ROBBERY,39
3.0,2021,SEX ABUSE,8
3.0,2021,THEFT F/AUTO,497
3.0,2021,THEFT/OTHER,715
3.0,2022,ASSAULT W/DANGEROUS WEAPON,25
3.0,2022,BURGLARY,59
3.0,2022,HOMICIDE,2
3.0,2022,MOTOR VEHICLE THEFT,87
3.0,2022,ROBBERY,37
3.0,2022,SEX ABUSE,11
3.0,2022,THEFT F/AUTO,486
3.0,2022,THEFT/OTHER,679
3.0,2023,ARSON,1
3.0,2023,ASSAULT W/DANGEROUS WEAPON,29
3.0,2023,BURGLARY,63
3.0,2023,HOMICIDE,2
3.0,2023,MOTOR VEHICLE THEFT,166
3.0,2023,ROBBERY,64
3.0,2023,SEX ABUSE,7
3.0,2023,THEFT F/AUTO,668
3.0,2023,THEFT/OTHER,1070
3.0,2024,ASSAULT W/DANGEROUS WEAPON,16
3.0,2024,BURGLARY,43
3.0,2024,HOMICIDE,2
3.0,2024,MOTOR VEHICLE THEFT,120
3.0,2024,ROBBERY,38
3.0,2024,SEX ABUSE,9
3.0,2024,THEFT F/AUTO,481
3.0,2024,THEFT/OTHER,1120
3.0,2025,ASSAULT W/DANGEROUS WEAPON,10
3.0,2025,BURGLARY,20
3.0,2025,HOMICIDE,2
3.0,2025,MOTOR VEHICLE THEFT,67
3.0,2025,ROBBERY,9
3.0,2025,SEX ABUSE,3
3.0,2025,THEFT F/AUTO,279
3.0,2025,THEFT/OTHER,636
4.0,2019,ASSAULT W/DANGEROUS WEAPON,69
4.0,2019,BURGLARY,122
4.0,2019,HOMICIDE,6
4.0,2019,MOTOR VEHICLE THEFT,204
4.0,2019,ROBBERY,171
4.0,2019,SEX ABUSE,14
4.0,2019,THEFT F/AUTO,1096
4.0,2019,THEFT/OTHER,1260
4.0,2020,ASSAULT W/DANGEROUS WEAPON,85
4.0,2020,BURGLARY,97
4.0,2020,HOMICIDE,9
4.0,2020,MOTOR VEHICLE THEFT,327
4.0,2020,ROBBERY,179
4.0,2020,SEX ABUSE,13
4.0,2020,THEFT F/AUTO,1070
4.0,2020,THEFT/OTHER,923
4.0,2021,ASSAULT W/DANGEROUS WEAPON,97
4.0,2021,BURGLARY,94
4.0,2021,HOMICIDE,20
4.0,2021,MOTOR VEHICLE THEFT,320
4.0,2021,ROBBERY,149
4.0,2021,SEX ABUSE,13
4.0,2021,THEFT F/AUTO,994
