WARD,2019,2020,2021,2022,2023,2024,2025
1,1690,971,1336,1402,1438,951,470
2,2429,1249,1834,1333,1205,876,571
3,624,663,497,486,668,481,279
4,1096,1070,994,1038,945,797,580
5,1836,1475,1512,1325,1224,1468,828
6,1427,1021,1026,990,880,878,517
7,969,1186,862,719,825,726,408
8,670,650,586,466,564,502,216
