ward,2019,2020,2021,2022,2023,2024,2025
1.0,17,19,24,16,15,22,4
2.0,30,18,21,26,26,15,7
3.0,10,7,8,11,7,9,3
4.0,14,13,13,13,8,9,3
5.0,23,19,29,36,32,19,10
6.0,29,24,28,21,31,20,8
7.0,37,40,32,29,36,24,9
8.0,39,38,34,30,37,24,13
