WARD,2019,2020,2021,2022,2023,2024,2025
1,135,147,163,102,160,166,62
2,207,375,171,198,144,107,52
3,85,119,59,59,63,43,20
4,122,97,94,86,71,89,43
5,251,192,248,213,243,192,84
6,105,176,157,102,118,102,51
7,174,173,137,140,143,139,65
8,195,164,144,149,150,167,87
