OFFENSE,2019,2020,2021,2022,2023,2024,2025
ARSON,7,11,4,3,8,3,4
ASSAULT W/DANGEROUS WEAPON,1013,1047,995,904,931,694,557
BURGLARY,821,1027,667,683,702,586,464
HOMICIDE,106,118,127,131,171,115,101
MOTOR VEHICLE THEFT,1329,1822,2122,2176,4649,3081,2993
ROBBERY,1336,1089,1160,1359,2225,1318,918
SEX ABUSE,131,110,115,102,117,112,57
THEFT F/AUTO,6541,5087,5263,4984,5046,4045,3870
THEFT/OTHER,9526,6900,6516,6535,8117,7849,7420
